app,scene,state,uiElement,device,screenMode,栏,variantId,setKey,notes
系统控件 SystemUIKIT,NLC,默认,键盘 Keyboard,PHONE_竖屏,,全栏,Keyboard_phone_h_01,,
系统控件 SystemUIKIT,NLC,默认,键盘 Keyboard,PHONE_横屏,,全栏,Keyboard_phone_l_01,,
系统控件 SystemUIKIT,NLC,默认,键盘 Keyboard,FOLD_外屏,竖屏,全栏,Keyboard_fold_inside_h_01,,
系统控件 SystemUIKIT,NLC,默认,键盘 Keyboard,FOLD_外屏,横屏,全栏,Keyboard_phone_l_01,,
系统控件 SystemUIKIT,NLC,默认,键盘 Keyboard,FOLD_内屏竖屏,NC,全栏,Keyboard_fold_outside_h_01,,
系统控件 SystemUIKIT,NLC,默认,键盘 Keyboard,FOLD_内屏横屏,NC,全栏,Keyboard_fold_outside_l_01,,
系统控件 SystemUIKIT,NLC,默认,键盘 Keyboard,PAD_竖屏,NLC,全栏,Keyboard_pad_h_01,,
系统控件 SystemUIKIT,NLC,默认,键盘 Keyboard,PAD_横屏,NLC,全栏,Keyboard_pad_l_01,,
系统控件 SystemUIKIT,NLC,默认,状态栏 StatusBar,PHONE_竖屏,,全栏,StatusBar_01,,
系统控件 SystemUIKIT,NLC,默认,状态栏 StatusBar,FOLD_外屏,竖屏,全栏,StatusBar_01,,
系统控件 SystemUIKIT,NLC,默认,状态栏 StatusBar,FOLD_内屏竖屏,NC,全栏,StatusBar_01,,
系统控件 SystemUIKIT,NLC,默认,状态栏 StatusBar,FOLD_内屏横屏,NC,全栏,StatusBar_01,,
系统控件 SystemUIKIT,NLC,默认,状态栏 StatusBar,PAD_竖屏,NLC,全栏,StatusBar_03,,
系统控件 SystemUIKIT,NLC,默认,状态栏 StatusBar,PAD_横屏,NLC,全栏,StatusBar_03,,
系统控件 SystemUIKIT,NLC,默认,控制杆 SwipeIndicator,PHONE_竖屏,,全栏,SwipeIndicator_01,,
系统控件 SystemUIKIT,NLC,默认,控制杆 SwipeIndicator,PHONE_横屏,,全栏,SwipeIndicator_02,,
系统控件 SystemUIKIT,NLC,默认,控制杆 SwipeIndicator,FOLD_外屏,竖屏,全栏,SwipeIndicator_03,,
系统控件 SystemUIKIT,NLC,默认,控制杆 SwipeIndicator,FOLD_外屏,横屏,全栏,SwipeIndicator_04,,
系统控件 SystemUIKIT,NLC,默认,控制杆 SwipeIndicator,FOLD_内屏竖屏,NC,全栏,SwipeIndicator_05,,
系统控件 SystemUIKIT,NLC,默认,控制杆 SwipeIndicator,FOLD_内屏横屏,NC,全栏,SwipeIndicator_06,,
系统控件 SystemUIKIT,NLC,默认,控制杆 SwipeIndicator,PAD_竖屏,NLC,全栏,SwipeIndicator_07,,
系统控件 SystemUIKIT,NLC,默认,控制杆 SwipeIndicator,PAD_横屏,NLC,全栏,SwipeIndicator_08,,
文件管理 File Manager,NLC,默认,顶部导航栏 TopBar 侧边栏 Sidebar 底部导航栏 BottomBar,PHONE_竖屏,,全栏,BottomBar_Showcase_Fab_01,,
