family,device,state,subScene,setKey,library,widthExpr,heightExpr,posXExpr,posYExpr,headerH,modal,attached,attachedSide,fillVertical,contentPaddingTop,contentPaddingLR,bottomCornerMatchFW,innerVariant,innerSetKey,innerLibrary,notes
FloatingWindow_ComponentSet_01,Fold内横,一级,AppSettings,d586e39fcd850cc3e2f364d877725d4fab64d42d,OS4 UI Kit,546,frameH*0.8,(frameW-w)/2,(frameH-h)/2,56,true,false,,false,12,0,true,List_NoteSetting_01,c1511ec17a7aa60755c6de25ccf7855695c36f9b,业务组件库,笔记 AppSettings 一级 Fold内横 modal centered
FloatingWindow_ComponentSet_01,Fold内竖,一级,AppSettings,d586e39fcd850cc3e2f364d877725d4fab64d42d,OS4 UI Kit,546,636,(frameW-w)/2,(frameH-h)/2,56,true,false,,false,12,0,true,List_NoteSetting_01,c1511ec17a7aa60755c6de25ccf7855695c36f9b,业务组件库,笔记 AppSettings 一级 Fold内竖 modal centered
FloatingWindow_ComponentSet_01,Pad横,一级,AppSettings,d586e39fcd850cc3e2f364d877725d4fab64d42d,OS4 UI Kit,546,frameH*0.8,(frameW-w)/2,(frameH-h)/2,56,true,false,,false,12,0,true,List_NoteSetting_01,c1511ec17a7aa60755c6de25ccf7855695c36f9b,业务组件库,笔记 AppSettings 一级 Pad横 modal centered
FloatingWindow_ComponentSet_01,Pad竖,一级,AppSettings,d586e39fcd850cc3e2f364d877725d4fab64d42d,OS4 UI Kit,546,636,(frameW-w)/2,(frameH-h)/2,56,true,false,,false,12,0,true,List_NoteSetting_01,c1511ec17a7aa60755c6de25ccf7855695c36f9b,业务组件库,笔记 AppSettings 一级 Pad竖 modal centered
Notes_FloatingWindow_01,Pad横,默认,笔记,2073e6cd2d7e7e4df7b72cb06681b4a353c5731f,业务组件库,546,636,(frameW-w)/2,(frameH-h)/2,56,true,false,,false,0,0,true,,,,笔记 管理文件夹 Pad横 浮窗 form — H=636 master 自然 (cross-file ABSOLUTE bg cascade 未 publish; 80% rule 适用 시 inner 内容 ~504dp 후 공백 발생, app-variant-map §0.1 #11)
Notes_FloatingWindow_01,Pad竖,默认,笔记,2073e6cd2d7e7e4df7b72cb06681b4a353c5731f,业务组件库,546,636,(frameW-w)/2,(frameH-h)/2,56,true,false,,false,0,0,true,,,,笔记 管理文件夹 Pad竖 浮窗 form (app-variant-map §0.1 #11)
Sidebar_Notes_01,手机竖,默认,笔记,fda902bded23aa5b32b343da5b5a50c111635c48,业务组件库,324,frameH-statusBarH,0,statusBarH,0,false,true,left,true,0,0,false,,,,笔记 管理文件夹 手机竖 attached form (app-variant-map §0.1 #10)
Sidebar_Notes_01,Fold外竖,默认,笔记,fda902bded23aa5b32b343da5b5a50c111635c48,业务组件库,324,frameH-statusBarH,0,statusBarH,0,false,true,left,true,0,0,false,,,,笔记 管理文件夹 Fold外竖 attached form (app-variant-map §0.1 #10)
Sidebar_Notes_01,Fold内竖,默认,笔记,fda902bded23aa5b32b343da5b5a50c111635c48,业务组件库,324,frameH-statusBarH,0,statusBarH,0,false,true,left,true,0,0,false,,,,笔记 管理文件夹 Fold内竖 LC attached form (app-variant-map §0.1 #10)
Sidebar_Notes_01,Fold内横,默认,笔记,fda902bded23aa5b32b343da5b5a50c111635c48,业务组件库,324,frameH-statusBarH,0,statusBarH,0,false,true,left,true,0,0,false,,,,笔记 管理文件夹 Fold内横 LC attached form (app-variant-map §0.1 #10)
