,VariantName,ComponentFamily,VariantId,Space,案例,组件完成情况,Figma MCP & Skill 测试,,,,,,,,,,,,,,
状态栏 StatusBar,状态栏_手机Fold_01,StatusBar,StatusBar_01,,,,,,,,,,,,,,,,,,
,状态栏_Pad,StatusBar,StatusBar_03,,,,,,,,,,,,,,,,,,
控制杆 SwipeIndicator,控制杆_手机_竖屏_01,SwipeIndicator,SwipeIndicator_01,,,,,,,,,,,,,,,,,,
,控制杆_手机_横屏_01,SwipeIndicator,SwipeIndicator_02,,,,,,,,,,,,,,,,,,
,控制杆_Fold_外屏_竖屏_01,SwipeIndicator,SwipeIndicator_03,,,,,,,,,,,,,,,,,,
,控制杆_Fold_外屏_横屏_01,SwipeIndicator,SwipeIndicator_04,,,,,,,,,,,,,,,,,,
,控制杆_Fold_内屏_竖屏_01,SwipeIndicator,SwipeIndicator_05,,,,,,,,,,,,,,,,,,
,控制杆_Fold_内屏_横屏_01,SwipeIndicator,SwipeIndicator_06,,,,,,,,,,,,,,,,,,
,控制杆_Pad_竖屏_01,SwipeIndicator,SwipeIndicator_07,,,,,,,,,,,,,,,,,,
,控制杆_Pad_横屏_01,SwipeIndicator,SwipeIndicator_08,,,,,,,,,,,,,,,,,,
标题栏 NavigationBar,无标题栏,NavigationBar,NavigationBar_ComponentSet_00,,,YES,通过,,,,,,,,,,,,,,
,大标题_手机默认,NavigationBar,NavigationBar_ComponentSet_01,"左12，右12
标题左侧：28",,YES,通过,,,,,,,,,,,,,,
,大标题_返回,NavigationBar,NavigationBar_ComponentSet_02,"左12，右12
标题左侧：28",,YES,,,,,,,,,,,,,,,
,大标题_编辑,NavigationBar,NavigationBar_ComponentSet_03,"左12，右12
标题左侧：28",,YES,,,,,,,,,,,,,,,
 ,中标题_左对齐,NavigationBar,NavigationBar_ComponentSet_04,"左12，右12
标题左侧：28",,YES,通过,,,,,,,,,,,,,,
,中标题_左对齐_返回,NavigationBar,NavigationBar_ComponentSet_05,"左12，右12
标题左侧：28",,YES,,,,,,,,,,,,,,,
,中标题_左对齐_编辑,NavigationBar,NavigationBar_ComponentSet_06,"左12，右12
标题左侧：28",,YES,,,,,,,,,,,,,,,
,中标题_左对齐_无标题,NavigationBar,NavigationBar_ComponentSet_15,左12，右12,,YES,,,,,,,,,,,,,,,
,小标题,NavigationBar,NavigationBar_ComponentSet_07,左12，右12,,YES,通过,,,,,,,,,,,,,,
,小标题_左对齐,NavigationBar,NavigationBar_ComponentSet_16,左12，右12,,15日YES,通过,,,,,,,,,,,,,,
,小标题_返回,NavigationBar,NavigationBar_ComponentSet_08,左12，右12,,YES,,,,,,,,,,,,,,,
,小标题_编辑,NavigationBar,NavigationBar_ComponentSet_09,左12，右12,,YES,,,,,,,,,,,,,,,
,小标题_无标题,NavigationBar,NavigationBar_ComponentSet_10,左12，右12,,YES,,,,,,,,,,,,,,,
,小标题_无标题_返回,NavigationBar,NavigationBar_ComponentSet_11,左12，右12,,YES,,,,,,,,,,,,,,,
,小标题_关闭,NavigationBar,NavigationBar_ComponentSet_09,左12，右12,,YES,,,,,,,,,,,,,,,
,小标题_侧边栏_无标题,NavigationBar,NavigationBar_ComponentSet_12,左12，右12,,YES,,,,,,,,,,,,,,,
,小标题_侧边栏_编辑,NavigationBar,NavigationBar_ComponentSet_13,左12，右12,,YES,,,,,,,,,,,,,,,
,小标题_侧边栏_收起_文字,NavigationBar,NavigationBar_ComponentSet_17,左12，右12,,15日YES,,,,,,,,,,,,,,,
,小标题_侧边栏_编辑_收起,NavigationBar,NavigationBar_ComponentSet_18,左12，右12,,15日YES,,,,,,,,,,,,,,,
,小标题_侧边栏_收起,NavigationBar,NavigationBar_ComponentSet_14,左12，右12,,YES,,,,,,,,,,,,,,,
顶部导航 TopBar,无顶部导航,TopBar,TopBar_00,,,YES,,,,,,,,,,,,,,,
,顶部导航组合,TopBar,TopBar_01,左12，右12,,YES,,,,,,,,,,,,,,,
,顶部导航组合_返回,TopBar,TopBar_02,左12，右12,,YES,,,,,,,,,,,,,,,
标签栏 SelectableChip,无标签栏,SelectableChip,SelectableChip_ComponentSet_00,,,YES,,,,,,,,,,,,,,,
,等宽,SelectableChip,SelectableChip_ComponentSet_01,左12，右12,,YES,,,,,,,,,,,,,,,
搜索栏 SearchBar,无搜索栏,SearchBar,SearchBar_ComponentSet_00,,,YES,,,,,,,,,,,,,,,
,默认-,SearchBar,SearchBar_ComponentSet_05,左12，右12,,15日YES,,,,,,,,,,,,,,,
,激活,SearchBar,SearchBar_ComponentSet_01,左12，右12,,YES,,,,,,,,,,,,,,,
,sug词直搜,SearchBar,SearchBar_ComponentSet_03,左12，右12,,15日YES,,,,,,,,,,,,,,,
,平板 / 顶部导航 / 默认,SearchBar,SearchBar_ComponentSet_02,左12，右12,,YES,,,,,,,,,,,,,,,
,平板 / 顶部导航 / 激活 ,SearchBar,SearchBar_ComponentSet_04,左8，右8,,15日YES,,,,,,,,,,,,,,,
,顶部标题栏搜索,SearchBar,TopBar_03,左12，右12,,YES,,,,,,,,,,,,,,,
,顶部导航搜索_返回,SearchBar,TopBar_04,左12，右12,,YES,,,,,,,,,,,,,,,
,顶部导航搜索,SearchBar,TopBar_05,左12，右12,,YES,,,,,,,,,,,,,,,
,顶部标题栏搜索_左对齐,SearchBar,TopBar_06,左12，右12,,15日YES,,,,,,,,,,,,,,,
,顶部导航搜索_侧边栏收起,SearchBar,TopBar_07,左12，右12,,19日YES,,,,,,,,,,,,,,,
,顶部导航搜索_侧边栏_编辑,SearchBar,TopBar_09,左12，右12,,,,,,,,,,,,,,,,,
,顶部导航搜索_侧边栏收起_编辑,SearchBar,TopBar_08,左12，右12,,,,,,,,,,,,,,,,,
搜索结果面板 SearchReceiving,无搜索面板,SearchReceiving,SearchReceiving_00,,,YES,,,,,,,,,,,,,,,
,搜索面板,SearchReceiving,SearchReceiving_01,左16，右16,,YES,,,,,,,,,,,,,,,
 分段按钮 Segmented Controls,默认,SegmentedControls,SegmentedControls_ComponentSet_00,,,,,,,,,,,,,,,,,,
,默认,SegmentedControls,SegmentedControls_ComponentSet_01,左12，右12,,,,,,,,,,,,,,,,,
,分段按钮_Pad,SegmentedControls,SegmentedControls_ComponentSet_02,最小 左16，右16,,,,,,,,,,,,,,,,,
,分段按钮_容器,SegmentedControls,SegmentedControls_01,左16，右16,,,,,,,,,,,,,,,,,
,,NavigationBar,NavigationBar_ComponentSet_13,左12，右12,,,,,,,,,,,,,,,,,
底部导航栏 BottomBar,无底部导航栏,BottomBar,BottomBar_Showcase_00,,,YES,,,,,,,,,,,,,,,
,默认,BottomBar,BottomBar_Showcase_01,"屏幕宽度：大于440的定宽344dp；
小于440的铺满，左右padding24dp",,YES,,,,,,,,,,,,,,,
,无FAB_分开展示,BottomBar,BottomBar_Showcase_02,左24,,YES,,,,,,,,,,,,,,,
,配FAB,BottomBar,BottomBar_Showcase_Fab_01,"屏幕宽度：大于440的定宽344dp；
小于440的铺满，左右padding24dp
Gab：12",,YES,,,,,,,,,,,,,,,
,配FAB_分开展示,BottomBar,BottomBar_Showcase_Fab_02,左24，右24,,YES,,,,,,,,,,,,,,,
Fab,Fab,Fab,Fab_00,,,15日YES,,,,,,,,,,,,,,,
,Fab,Fab,Fab_01,右24,,YES,,,,,,,,,,,,,,,
,Fab,Fab,Fab_02,右24,,YES,,,,,,,,,,,,,,,
侧边栏 Sidebar,Pad_NLC,Sidebar,Sidebar_Component_PAD_NLC_00,,,15日YES,,,,,,,,,,,,,,,
,Pad_NLC,Sidebar,Sidebar_Component_PAD_NLC_01,"侧边栏组件左侧：12
侧边栏组件内：左12，右12",,YES,通过,,,,,,,,,,,,,,
