应用,,PHONE,,FOLD,,,,,,,,PAD,,,,,,,,,,,,,,,
,,竖屏,横屏,外屏,,内屏 / 竖屏,,,内屏 / 横屏,,,竖屏,,,,,,,,横屏,,,,,,,
,,,,竖屏,横屏,NC,LC,C,NC,LC,C,NLC,NLC收起,NL,NL收起,NC,NC收起,LC,C,NLC,NLC收起,NL,NL收起,NC,NC收起,LC,C
笔记 Notes,"顶部导航栏 TopBar
侧边栏 Sidebar
底部导航栏 BottomBar
/ NLC",BottomBar_Showcase_00,,BottomBar_Showcase_00,,,L栏：BottomBar_Showcase_00,,,L栏：BottomBar_Showcase_00,,N栏：Sidebar_Component_PAD_NLC_01,"N栏：
Sidebar_Component_PAD_NLC_00", ,,,,,,N栏：Sidebar_Component_PAD_NLC_01,"N栏：
Sidebar_Component_PAD_NLC_00",,,,,,
,"顶部导航栏 TopBar
侧边栏 Sidebar
底部导航栏 BottomBar
 / NL",BottomBar_Showcase_00,,BottomBar_Showcase_00,,,,BottomBar_Showcase_00,,,BottomBar_Showcase_00,,,N栏：Sidebar_Component_PAD_NLC_01,"N栏：
Sidebar_Component_PAD_NLC_00",,,,,,,N栏：Sidebar_Component_PAD_NLC_01,"N栏：
Sidebar_Component_PAD_NLC_00",,,,
,"顶部导航栏 TopBar
侧边栏 Sidebar
底部导航栏 BottomBar
 / NC",BottomBar_Showcase_00,,BottomBar_Showcase_00,,,,BottomBar_Showcase_00,,,BottomBar_Showcase_00,,,,,N栏：Sidebar_Component_PAD_NLC_01,"N栏：
Sidebar_Component_PAD_NLC_00",,,,,,,N栏：Sidebar_Component_PAD_NLC_01,"N栏：
Sidebar_Component_PAD_NLC_00",,
,标题栏 NavigationBar / NLC,NavigationBar_ComponentSet_01,,NavigationBar_ComponentSet_04,,,"L栏：
NavigationBar_ComponentSet_04

C栏：
NavigationBar_ComponentSet_Notes_01",,,"L栏：
NavigationBar_ComponentSet_04

C栏：
NavigationBar_ComponentSet_Notes_01",,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_07

C栏：
NavigationBar_ComponentSet_Notes_01","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_17

C栏：
NavigationBar_ComponentSet_Notes_01",,,,,,,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_07

C栏：
NavigationBar_ComponentSet_Notes_01","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_17

C栏：
NavigationBar_ComponentSet_Notes_01",,,,,,
,标题栏 NavigationBar / N L,NavigationBar_ComponentSet_01,,NavigationBar_ComponentSet_04,,,,NavigationBar_ComponentSet_04,,,NavigationBar_ComponentSet_04,,,"N栏：
NavigationBar_ComponentSet_00


L栏：
NavigationBar_ComponentSet_00","N栏：
NavigationBar_ComponentSet_00


L栏：
NavigationBar_ComponentSet_00",,,,,,,"N栏：
NavigationBar_ComponentSet_00


L栏：
NavigationBar_ComponentSet_00","N栏：
NavigationBar_ComponentSet_00


L栏：
NavigationBar_ComponentSet_00",,,,
,标题栏 NavigationBar / NC,NavigationBar_ComponentSet_11,,NavigationBar_ComponentSet_11,,,,NavigationBar_ComponentSet_11,,,NavigationBar_ComponentSet_11,,,,,"N栏：
NavigationBar_ComponentSet_12


L栏：
NavigationBar_ComponentSet_11","N栏：
NavigationBar_ComponentSet_00


L栏：
NavigationBar_ComponentSet_Notes_03",,,,,,,"N栏：
NavigationBar_ComponentSet_12


L栏：
NavigationBar_ComponentSet_11","N栏：
NavigationBar_ComponentSet_00


L栏：
NavigationBar_ComponentSet_Notes_03",,
,标题栏 NavigationBar / LC,NavigationBar_ComponentSet_02,,NavigationBar_ComponentSet_05,,,"N栏：
NavigationBar_ComponentSet_05

C栏：
NavigationBar_ComponentSet_Notes_01",,,"N栏：
NavigationBar_ComponentSet_05

C栏：
NavigationBar_ComponentSet_Notes_01",,,,,,,,"N栏：
NavigationBar_ComponentSet_08

C栏：
NavigationBar_ComponentSet_Notes_01",,,,,,,,"N栏：
NavigationBar_ComponentSet_08

C栏：
NavigationBar_ComponentSet_Notes_01",
,标题栏 NavigationBar / 详情全屏 / C,NavigationBar_ComponentSet_11,,NavigationBar_ComponentSet_11,,,,NavigationBar_ComponentSet_Notes_01,,,NavigationBar_ComponentSet_Notes_01,,,,,,,,NavigationBar_ComponentSet_Notes_01,,,,,,,,NavigationBar_ComponentSet_Notes_01
,标题栏 NavigationBar / 私密笔记宫格 / C,NavigationBar_ComponentSet_02,,NavigationBar_ComponentSet_05,,,,NavigationBar_ComponentSet_05,,,NavigationBar_ComponentSet_05,,,,,,,,NavigationBar_ComponentSet_08,,,,,,,,NavigationBar_ComponentSet_08
