uiElement,device,screenMode,栏,variantId,notes
Keyboard,手机竖,,全栏,Keyboard_Phone_h_01,
Keyboard,手机横,,全栏,Keyboard_Phone_l_01,
Keyboard,Fold外竖,,全栏,Keyboard_Fold_outside_h_01,
Keyboard,Fold外横,,全栏,Keyboard_Fold_outside_l_01,
Keyboard,Fold内竖,NC,全栏,Keyboard_Fold_inside_h_01,
Keyboard,Fold内横,NC,全栏,Keyboard_Fold_inside_l_01,
Keyboard,Pad竖,NLC,全栏,Keyboard_Pad_l_01,
Keyboard,Pad横,NLC,全栏,Keyboard_Pad_h_01,
StatusBar,手机竖,,全栏,StatusBar_01,
StatusBar,Fold外竖,,全栏,StatusBar_01,
StatusBar,Fold内竖,NC,全栏,StatusBar_01,
StatusBar,Fold内横,NC,全栏,StatusBar_01,
StatusBar,Pad竖,NLC,全栏,StatusBar_03,
StatusBar,Pad横,NLC,全栏,StatusBar_03,
SwipeIndicator,手机竖,,全栏,SwipeIndicator_01,
SwipeIndicator,手机横,,全栏,SwipeIndicator_02,
SwipeIndicator,Fold外竖,,全栏,SwipeIndicator_03,
SwipeIndicator,Fold外横,,全栏,SwipeIndicator_04,
SwipeIndicator,Fold内竖,NC,全栏,SwipeIndicator_05,
SwipeIndicator,Fold内横,NC,全栏,SwipeIndicator_06,
SwipeIndicator,Pad竖,NLC,全栏,SwipeIndicator_07,
SwipeIndicator,Pad横,NLC,全栏,SwipeIndicator_08,
