app,subScene,scene,state,uiElement,device,screenMode,栏,variantId,notes,framework
Calculator,,NLC,默认,TopBar,手机竖,,全栏,TopBar_01,,NLC
Calculator,,NLC,默认,TopBar,Fold外竖,,全栏,TopBar_01,,NLC
Calculator,,C,默认,TopBar,Fold内竖,C,全栏,TopBar_01,,C
Calculator,,C,默认,TopBar,Fold内横,C,全栏,TopBar_01,,C
Calculator,,C,默认,TopBar,Pad竖,C,全栏,TopBar_01,,C
Calculator,,C,默认,TopBar,Pad横,C,全栏,TopBar_01,,C
Calculator,,NLC,默认,NavigationBar,手机竖,,全栏,TopBar_01,标题栏,NLC
Calculator,,NLC,默认,NavigationBar,Fold外竖,,全栏,TopBar_01,标题栏,NLC
Calculator,,C,默认,NavigationBar,Fold内竖,C,全栏,TopBar_01,标题栏,C
Calculator,,C,默认,NavigationBar,Fold内横,C,全栏,TopBar_01,标题栏,C
Calculator,,C,默认,NavigationBar,Pad竖,C,全栏,TopBar_01,标题栏,C
Calculator,,C,默认,NavigationBar,Pad横,C,全栏,TopBar_01,标题栏,C
