app,subScene,scene,state,uiElement,device,screenMode,栏,variantId,notes,framework
Clocks,,NLC,默认,BottomBar,手机竖,,全栏,BottomBar_Showcase_01,,NLC
Clocks,,NLC,默认,BottomBar,Fold外竖,,全栏,BottomBar_Showcase_01,,NLC
Clocks,,C,默认,BottomBar,Fold内竖,C,全栏,BottomBar_Showcase_01,,C
Clocks,,C,默认,BottomBar,Fold内横,C,全栏,BottomBar_Showcase_01,,C
Clocks,,C,默认,TopBar,Pad竖,C,全栏,TopBar_01,,C
Clocks,,C,默认,TopBar,Pad横,C,全栏,TopBar_01,,C
Clocks,,NLC,默认,NavigationBar,手机竖,,全栏,NavigationBar_ComponentSet_Calendar_01,,NLC
Clocks,,NLC,默认,NavigationBar,Fold外竖,,全栏,NavigationBar_ComponentSet_04,,NLC
Clocks,,C,默认,NavigationBar,Fold内竖,C,全栏,NavigationBar_ComponentSet_04,,C
Clocks,,C,默认,NavigationBar,Fold内横,C,全栏,NavigationBar_ComponentSet_04,,C
Clocks,,C,默认,NavigationBar,Pad竖,C,全栏,TopBar_01,标题栏,C
Clocks,,C,默认,NavigationBar,Pad横,C,全栏,TopBar_01,标题栏,C
