app,subScene,scene,state,uiElement,device,screenMode,栏,variantId,notes,framework
Contacts,,NLC,默认,BottomBar,手机竖,,全栏,BottomBar_Showcase_Fab_01,,
Contacts,,NLC,默认,BottomBar,Fold外竖,,全栏,BottomBar_Showcase_Fab_01,,
Contacts,,LC,默认,BottomBar,Fold内竖,LC,L栏,BottomBar_Showcase_02,,
Contacts,,LC,默认,BottomBar,Fold内横,LC,L栏,BottomBar_Showcase_02,,
Contacts,,NLC,默认,Sidebar,Pad竖,NLC,N栏,Sidebar_Component_PAD_NLC_01,,
Contacts,,NLC,默认,Sidebar,Pad竖,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,,
Contacts,,NLC,默认,Sidebar,Pad横,NLC,N栏,Sidebar_Component_PAD_NLC_01,,
Contacts,,NLC,默认,Sidebar,Pad横,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,,
Contacts,,NLC,默认,NavigationBar,手机竖,,全栏,NavigationBar_ComponentSet_01,,
Contacts,,NLC,默认,NavigationBar,Fold外竖,,全栏,NavigationBar_ComponentSet_04,,
Contacts,,LC,默认,NavigationBar,Fold内竖,LC,L栏,NavigationBar_ComponentSet_04,,
Contacts,,LC,默认,NavigationBar,Fold内竖,LC,C栏,1. 未选中L栏list：无标题,,
Contacts,,LC,默认,NavigationBar,Fold内竖,LC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_15,,
Contacts,,LC,默认,NavigationBar,Fold内横,LC,L栏,NavigationBar_ComponentSet_04,,
Contacts,,LC,默认,NavigationBar,Fold内横,LC,C栏,1. 未选中L栏list：无标题,,
Contacts,,LC,默认,NavigationBar,Fold内横,LC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_15,,
Contacts,,NLC,默认,NavigationBar,Pad竖,NLC,N栏,Sidebar_Component_PAD_NLC_01,标题栏,
Contacts,,NLC,默认,NavigationBar,Pad竖,NLC,L栏,NavigationBar_ComponentSet_07,,
Contacts,,NLC,默认,NavigationBar,Pad竖,NLC,C栏,1. 未选中L栏list：无标题,,
Contacts,,NLC,默认,NavigationBar,Pad竖,NLC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,,
Contacts,,NLC,默认,NavigationBar,Pad竖,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,标题栏,
Contacts,,NLC,默认,NavigationBar,Pad竖,NLC收起,L栏,NavigationBar_ComponentSet_07,,
Contacts,,NLC,默认,NavigationBar,Pad竖,NLC收起,C栏,1. 未选中L栏list：无标题,,
Contacts,,NLC,默认,NavigationBar,Pad竖,NLC收起,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,,
Contacts,,NLC,默认,NavigationBar,Pad横,NLC,N栏,Sidebar_Component_PAD_NLC_01,标题栏,
Contacts,,NLC,默认,NavigationBar,Pad横,NLC,L栏,NavigationBar_ComponentSet_07,,
Contacts,,NLC,默认,NavigationBar,Pad横,NLC,C栏,1. 未选中L栏list：无标题,,
Contacts,,NLC,默认,NavigationBar,Pad横,NLC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,,
Contacts,,NLC,默认,NavigationBar,Pad横,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,标题栏,
Contacts,,NLC,默认,NavigationBar,Pad横,NLC收起,L栏,NavigationBar_ComponentSet_07,,
Contacts,,NLC,默认,NavigationBar,Pad横,NLC收起,C栏,1. 未选中L栏list：无标题,,
Contacts,,NLC,默认,NavigationBar,Pad横,NLC收起,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,,
Contacts,,NLC,默认,SearchBar,手机竖,,全栏,SearchBar_ComponentSet_02,,
Contacts,,NLC,默认,SearchBar,Fold外竖,,全栏,SearchBar_ComponentSet_02,,
Contacts,,LC,默认,SearchBar,Fold内竖,LC,L栏,SearchBar_ComponentSet_02,,
Contacts,,LC,默认,SearchBar,Fold内横,LC,L栏,SearchBar_ComponentSet_02,,
Contacts,,NLC,默认,SearchBar,Pad竖,NLC,L栏,SearchBar_ComponentSet_02,,
Contacts,,NLC,默认,SearchBar,Pad竖,NLC收起,L栏,SearchBar_ComponentSet_02,,
Contacts,,NLC,默认,SearchBar,Pad横,NLC,L栏,SearchBar_ComponentSet_02,,
Contacts,,NLC,默认,SearchBar,Pad横,NLC收起,L栏,SearchBar_ComponentSet_02,,
Contacts,,NLC,默认,Fab,手机竖,,全栏,Fab_01,彩色,
Contacts,,NLC,默认,Fab,Fold外竖,,全栏,Fab_01,彩色,
Contacts,,LC,默认,Fab,Fold内竖,LC,C栏,Fab_01,彩色,
Contacts,,LC,默认,Fab,Fold内横,LC,C栏,Fab_01,彩色,
