app,scene,state,uiElement,device,screenMode,栏,variantId,notes
FileManager,NLC,File Manager,BottomBar,手机竖,,全栏,BottomBar_Showcase_Fab_01,
FileManager,NLC,File Manager,BottomBar,Fold外竖,,全栏,BottomBar_Showcase_Fab_01,
FileManager,NC,File Manager,Sidebar,Fold内竖,NC,N栏,Sidebar_Component_NC_01,
FileManager,C,File Manager,TopBar,Fold内竖,C,全栏,TopBar_01,
FileManager,NC,File Manager,Sidebar,Fold内横,NC,N栏,Sidebar_Component_NC_01,
FileManager,C,File Manager,TopBar,Fold内横,C,全栏,TopBar_01,
FileManager,NL,File Manager,Sidebar,Pad竖,NL,N栏,Sidebar_Component_PAD_NLC_01,
FileManager,NL,File Manager,Sidebar,Pad竖,NL收起,N栏,Sidebar_Component_PAD_NLC_02,
FileManager,C,File Manager,TopBar,Pad竖,C,全栏,TopBar_05,
FileManager,NL,File Manager,Sidebar,Pad横,NL,N栏,Sidebar_Component_PAD_NLC_01,
FileManager,NL,File Manager,Sidebar,Pad横,NL收起,N栏,Sidebar_Component_PAD_NLC_02,
FileManager,C,File Manager,TopBar,Pad横,C,全栏,TopBar_05,
FileManager,NLC,File Manager,NavigationBar,手机竖,,全栏,NavigationBar_ComponentSet_01,
FileManager,NLC,File Manager,NavigationBar,Fold外竖,,全栏,NavigationBar_ComponentSet_04,
FileManager,NC,File Manager,NavigationBar,Fold内竖,NC,N栏,NavigationBar_ComponentSet_12,
FileManager,NC,File Manager,NavigationBar,Fold内竖,NC,C栏,NavigationBar_ComponentSet_04,
FileManager,C,File Manager,NavigationBar,Fold内竖,C,全栏,NavigationBar_ComponentSet_10,
FileManager,NC,File Manager,NavigationBar,Fold内横,NC,N栏,NavigationBar_ComponentSet_12,
FileManager,NC,File Manager,NavigationBar,Fold内横,NC,C栏,NavigationBar_ComponentSet_04,
FileManager,C,File Manager,NavigationBar,Fold内横,C,全栏,NavigationBar_ComponentSet_10,
FileManager,NL,File Manager,NavigationBar,Pad竖,NL,N栏,NavigationBar_ComponentSet_12,
FileManager,NL,File Manager,NavigationBar,Pad竖,NL,L栏,NavigationBar_ComponentSet_07,
FileManager,NL,File Manager,NavigationBar,Pad竖,NL收起,N栏,NavigationBar_ComponentSet_14,
FileManager,NL,File Manager,NavigationBar,Pad竖,NL收起,L栏,NavigationBar_ComponentSet_07,
FileManager,C,File Manager,NavigationBar,Pad竖,C,全栏,TopBar_05,标题栏
FileManager,NL,File Manager,NavigationBar,Pad横,NL,N栏,NavigationBar_ComponentSet_12,
FileManager,NL,File Manager,NavigationBar,Pad横,NL,L栏,NavigationBar_ComponentSet_07,
FileManager,NL,File Manager,NavigationBar,Pad横,NL收起,N栏,NavigationBar_ComponentSet_14,
FileManager,NL,File Manager,NavigationBar,Pad横,NL收起,L栏,NavigationBar_ComponentSet_07,
FileManager,C,File Manager,NavigationBar,Pad横,C,全栏,NavigationBar_ComponentSet_10,
FileManager,NLC,File Manager,SearchBar,手机竖,,全栏,Fab_01,白色
FileManager,NLC,File Manager,SearchBar,Fold外竖,,全栏,Fab_01,白色
FileManager,NC,File Manager,SearchBar,Fold内竖,NC,C栏,NavigationBar_ComponentSet_04,搜索图标
FileManager,C,File Manager,SearchBar,Fold内竖,C,全栏,TopBar_01,搜索图标
FileManager,NC,File Manager,SearchBar,Fold内横,NC,C栏,NavigationBar_ComponentSet_04,
FileManager,C,File Manager,SearchBar,Fold内横,C,全栏,TopBar_01,
FileManager,NL,File Manager,SearchBar,Pad竖,NL,L栏,TopBar_03,搜索栏
FileManager,NL,File Manager,SearchBar,Pad竖,NL收起,L栏,TopBar_03,搜索栏
FileManager,C,File Manager,SearchBar,Pad竖,C,全栏,TopBar_05,搜索栏
FileManager,NL,File Manager,SearchBar,Pad横,NL,L栏,TopBar_03,搜索栏
FileManager,NL,File Manager,SearchBar,Pad横,NL收起,L栏,TopBar_03,搜索栏
FileManager,C,File Manager,SearchBar,Pad横,C,全栏,TopBar_05,搜索栏
FileManager,NL,File Manager,SearchReceiving,Pad竖,NL,L栏,SearchReceiving_01,
FileManager,NL,File Manager,SearchReceiving,Pad竖,NL收起,L栏,SearchReceiving_01,
FileManager,C,File Manager,SearchReceiving,Pad竖,C,全栏,SearchReceiving_01,
FileManager,NL,File Manager,SearchReceiving,Pad横,NL,L栏,SearchReceiving_01,
FileManager,NL,File Manager,SearchReceiving,Pad横,NL收起,L栏,SearchReceiving_01,
FileManager,C,File Manager,SearchReceiving,Pad横,C,全栏,SearchReceiving_01,
