app,subScene,scene,state,uiElement,device,screenMode,栏,variantId,notes,framework
Gallery,,NLC,默认,BottomBar,手机竖,,全栏,BottomBar_Showcase_Fab_01,,NLC
Gallery,,NLC,默认,BottomBar,手机横,,全栏,BottomBar_Showcase_Fab_02,,NLC
Gallery,,NLC,默认,BottomBar,Fold外竖,,全栏,BottomBar_Showcase_Fab_01,,NLC
Gallery,,NLC,默认,BottomBar,Fold外横,,全栏,BottomBar_Showcase_Fab_02,,NLC
Gallery,,C,默认,BottomBar,Fold内竖,C,全栏,BottomBar_Showcase_Fab_01,,C
Gallery,,C,默认,BottomBar,Fold内横,C,全栏,BottomBar_Showcase_Fab_02,,C
Gallery,,NC,默认,Sidebar,Pad竖,NC,全栏,Sidebar_Component_PAD_NLC_01,,NC
Gallery,,C,默认,TopBar,Pad竖,C,全栏,TopBar_01,,C
Gallery,,NC,默认,Sidebar,Pad横,NC,全栏,Sidebar_Component_PAD_NLC_01,,NC
Gallery,,C,默认,TopBar,Pad横,C,全栏,TopBar_01,,C
Gallery,,NLC,默认,NavigationBar,手机竖,,全栏,NavigationBar_ComponentSet_01,,NLC
Gallery,,NLC,默认,NavigationBar,手机横,,全栏,_00,不渲染,NLC
Gallery,,NLC,默认,NavigationBar,Fold外竖,,全栏,NavigationBar_ComponentSet_04,,NLC
Gallery,,NLC,默认,NavigationBar,Fold外横,,全栏,NavigationBar_ComponentSet_04,,NLC
Gallery,,C,默认,NavigationBar,Fold内竖,C,全栏,NavigationBar_ComponentSet_04,,C
Gallery,,C,默认,NavigationBar,Fold内横,C,全栏,NavigationBar_ComponentSet_04,,C
Gallery,,NC,默认,NavigationBar,Pad竖,NC,N栏,NavigationBar_ComponentSet_12,,NC
Gallery,,NC,默认,NavigationBar,Pad竖,NC,C栏,NavigationBar_ComponentSet_10,,NC
Gallery,,C,默认,NavigationBar,Pad竖,C,全栏,TopBar_01,标题栏,C
Gallery,,NC,默认,NavigationBar,Pad横,NC,N栏,NavigationBar_ComponentSet_12,,NC
Gallery,,NC,默认,NavigationBar,Pad横,NC,C栏,NavigationBar_ComponentSet_10,,NC
Gallery,,C,默认,NavigationBar,Pad横,C,全栏,TopBar_01,标题栏,C
Gallery,,NLC,默认,SearchBar,手机竖,,全栏,Fab_01,白色,NLC
Gallery,,NLC,默认,SearchBar,手机横,,全栏,Fab_01,白色,NLC
Gallery,,NLC,默认,SearchBar,Fold外竖,,全栏,Fab_01,白色,NLC
Gallery,,NLC,默认,SearchBar,Fold外横,,全栏,Fab_01,白色,NLC
Gallery,,C,默认,SearchBar,Fold内竖,C,全栏,Fab_01,白色,C
Gallery,,C,默认,SearchBar,Fold内横,C,全栏,Fab_01,白色,C
Gallery,,NC,默认,SearchBar,Pad竖,NC,C栏,NavigationBar_ComponentSet_07,搜索图标,NC
Gallery,,C,默认,SearchBar,Pad竖,C,全栏,TopBar_01,搜索图标,C
Gallery,,NC,默认,SearchBar,Pad横,NC,C栏,NavigationBar_ComponentSet_07,搜索图标,NC
Gallery,,C,默认,SearchBar,Pad横,C,全栏,TopBar_01,搜索图标,C
