app,subScene,scene,state,uiElement,device,screenMode,栏,variantId,notes,framework
MiMover,,NLC,Mi Mover,TopBar,手机竖,,全栏,_00,不渲染,NLC
MiMover,,NLC,Mi Mover,TopBar,Fold外竖,,全栏,_00,不渲染,NLC
MiMover,,C,Mi Mover,TopBar,Fold内竖,C,全栏,_00,不渲染,C
MiMover,,C,Mi Mover,TopBar,Fold内横,C,全栏,_00,不渲染,C
MiMover,,C,Mi Mover,TopBar,Pad竖,C,全栏,_00,不渲染,C
MiMover,,C,Mi Mover,TopBar,Pad横,C,全栏,_00,不渲染,C
MiMover,,NLC,Mi Mover,NavigationBar,手机竖,,全栏,NavigationBar_ComponentSet_01,,NLC
MiMover,,NLC,Mi Mover,NavigationBar,Fold外竖,,全栏,NavigationBar_ComponentSet_04,,NLC
MiMover,,C,Mi Mover,NavigationBar,Fold内竖,C,全栏,NavigationBar_ComponentSet_04,,C
MiMover,,C,Mi Mover,NavigationBar,Fold内横,C,全栏,NavigationBar_ComponentSet_04,,C
MiMover,,C,Mi Mover,NavigationBar,Pad竖,C,全栏,NavigationBar_ComponentSet_10,,C
MiMover,,C,Mi Mover,NavigationBar,Pad横,C,全栏,NavigationBar_ComponentSet_10,,C
