app,scene,state,uiElement,device,screenMode,栏,variantId,notes
Notes,NLC,默认,BottomBar,手机竖,,全栏,BottomBar_Showcase_00,
Notes,NLC,默认,BottomBar,Fold外竖,,全栏,BottomBar_Showcase_00,
Notes,NLC,默认,BottomBar,Fold内竖,LC,L栏,BottomBar_Showcase_00,
Notes,NLC,默认,BottomBar,Fold内横,LC,L栏,BottomBar_Showcase_00,
Notes,NLC,默认,Sidebar,Pad竖,NLC,N栏,Sidebar_Component_PAD_NLC_01,
Notes,NLC,默认,Sidebar,Pad竖,NLC收起,N栏,Sidebar_Component_PAD_NLC_00,
Notes,NLC,默认,Sidebar,Pad横,NLC,N栏,Sidebar_Component_PAD_NLC_01,
Notes,NLC,默认,Sidebar,Pad横,NLC收起,N栏,Sidebar_Component_PAD_NLC_00,
Notes,NL,默认,BottomBar,手机竖,,全栏,BottomBar_Showcase_00,
Notes,NL,默认,BottomBar,Fold外竖,,全栏,BottomBar_Showcase_00,
Notes,NL,默认,BottomBar,Fold内竖,C,全栏,BottomBar_Showcase_00,
Notes,NL,默认,BottomBar,Fold内横,C,全栏,BottomBar_Showcase_00,
Notes,NL,默认,Sidebar,Pad竖,NL,N栏,Sidebar_Component_PAD_NLC_01,
Notes,NL,默认,Sidebar,Pad竖,NL收起,N栏,Sidebar_Component_PAD_NLC_00,
Notes,NL,默认,Sidebar,Pad横,NL,N栏,Sidebar_Component_PAD_NLC_01,
Notes,NL,默认,Sidebar,Pad横,NL收起,N栏,Sidebar_Component_PAD_NLC_00,
Notes,NC,默认,BottomBar,手机竖,,全栏,BottomBar_Showcase_00,
Notes,NC,默认,BottomBar,Fold外竖,,全栏,BottomBar_Showcase_00,
Notes,NC,默认,BottomBar,Fold内竖,C,全栏,BottomBar_Showcase_00,
Notes,NC,默认,BottomBar,Fold内横,C,全栏,BottomBar_Showcase_00,
Notes,NC,默认,Sidebar,Pad竖,NC,N栏,Sidebar_Component_PAD_NLC_01,
Notes,NC,默认,Sidebar,Pad竖,NC收起,N栏,Sidebar_Component_PAD_NLC_00,
Notes,NC,默认,Sidebar,Pad横,NC,N栏,Sidebar_Component_PAD_NLC_01,
Notes,NC,默认,Sidebar,Pad横,NC收起,N栏,Sidebar_Component_PAD_NLC_00,
