app,scene,state,uiElement,device,screenMode,栏,variantId,notes
Phone,NLC,展示拨号键盘,BottomBar,手机竖,,全栏,BottomBar_Showcase_Fab_01,
Phone,NLC,展示拨号键盘,TopBar,Fold外竖,,全栏,_00,不渲染
Phone,LC,展示拨号键盘,BottomBar,Fold内竖,LC,L栏,BottomBar_Showcase_02,
Phone,LC,展示拨号键盘,BottomBar,Fold内横,LC,L栏,BottomBar_Showcase_02,
Phone,NLC,展示拨号键盘,Sidebar,Pad竖,NLC,N栏,Sidebar_Component_PAD_NLC_01,
Phone,NLC,展示拨号键盘,Sidebar,Pad竖,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,
Phone,NLC,展示拨号键盘,Sidebar,Pad横,NLC,N栏,Sidebar_Component_PAD_NLC_01,
Phone,NLC,展示拨号键盘,Sidebar,Pad横,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,
Phone,NLC,展示拨号键盘,NavigationBar,手机竖,,全栏,NavigationBar_ComponentSet_01,
Phone,NLC,展示拨号键盘,NavigationBar,Fold外竖,,全栏,NavigationBar_ComponentSet_04,
Phone,LC,展示拨号键盘,NavigationBar,Fold内竖,LC,L栏,NavigationBar_ComponentSet_04,
Phone,LC,展示拨号键盘,NavigationBar,Fold内竖,LC,C栏,1. 未选中L栏list：无标题,
Phone,LC,展示拨号键盘,NavigationBar,Fold内竖,LC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_15,
Phone,LC,展示拨号键盘,NavigationBar,Fold内横,LC,L栏,NavigationBar_ComponentSet_04,
Phone,LC,展示拨号键盘,NavigationBar,Fold内横,LC,C栏,1. 未选中L栏list：无标题,
Phone,LC,展示拨号键盘,NavigationBar,Fold内横,LC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_15,
Phone,NLC,展示拨号键盘,NavigationBar,Pad竖,NLC,N栏,Sidebar_Component_PAD_NLC_01,标题栏
Phone,NLC,展示拨号键盘,NavigationBar,Pad竖,NLC,L栏,NavigationBar_ComponentSet_07,
Phone,NLC,展示拨号键盘,NavigationBar,Pad竖,NLC,C栏,1. 未选中L栏list：无标题,
Phone,NLC,展示拨号键盘,NavigationBar,Pad竖,NLC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,
Phone,NLC,展示拨号键盘,NavigationBar,Pad竖,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,标题栏
Phone,NLC,展示拨号键盘,NavigationBar,Pad竖,NLC收起,L栏,NavigationBar_ComponentSet_07,
Phone,NLC,展示拨号键盘,NavigationBar,Pad竖,NLC收起,C栏,1. 未选中L栏list：无标题,
Phone,NLC,展示拨号键盘,NavigationBar,Pad竖,NLC收起,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,
Phone,NLC,展示拨号键盘,NavigationBar,Pad横,NLC,N栏,Sidebar_Component_PAD_NLC_01,标题栏
Phone,NLC,展示拨号键盘,NavigationBar,Pad横,NLC,L栏,NavigationBar_ComponentSet_07,
Phone,NLC,展示拨号键盘,NavigationBar,Pad横,NLC,C栏,1. 未选中L栏list：无标题,
Phone,NLC,展示拨号键盘,NavigationBar,Pad横,NLC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,
Phone,NLC,展示拨号键盘,NavigationBar,Pad横,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,标题栏
Phone,NLC,展示拨号键盘,NavigationBar,Pad横,NLC收起,L栏,NavigationBar_ComponentSet_07,
Phone,NLC,展示拨号键盘,NavigationBar,Pad横,NLC收起,C栏,1. 未选中L栏list：无标题,
Phone,NLC,展示拨号键盘,NavigationBar,Pad横,NLC收起,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,
Phone,NLC,展示拨号键盘,SearchBar,手机竖,,全栏,SearchBar_ComponentSet_02,
Phone,NLC,展示拨号键盘,SearchBar,Fold外竖,,全栏,SearchBar_ComponentSet_02,
Phone,LC,展示拨号键盘,SearchBar,Fold内竖,LC,L栏,SearchBar_ComponentSet_02,
Phone,LC,展示拨号键盘,SearchBar,Fold内横,LC,L栏,SearchBar_ComponentSet_02,
Phone,NLC,展示拨号键盘,SearchBar,Pad竖,NLC,L栏,SearchBar_ComponentSet_02,
Phone,NLC,展示拨号键盘,SearchBar,Pad竖,NLC收起,L栏,SearchBar_ComponentSet_02,
Phone,NLC,展示拨号键盘,SearchBar,Pad横,NLC,L栏,SearchBar_ComponentSet_02,
Phone,NLC,展示拨号键盘,SearchBar,Pad横,NLC收起,L栏,SearchBar_ComponentSet_02,
Phone,NLC,展示拨号键盘,Fab,手机竖,,全栏,Fab_01,白色
Phone,NLC,展示拨号键盘,Fab,Fold外竖,,全栏,Fab_01,变成 拨号盘功能区按钮
Phone,LC,展示拨号键盘,Fab,Fold内竖,LC,C栏,Fab_01,消失，拨号盘功能区按钮
Phone,LC,展示拨号键盘,Fab,Fold内横,LC,C栏,Fab_01,消失，拨号盘功能区按钮
Phone,NLC,展示拨号键盘,Fab,Pad竖,NLC,C栏,Fab_01,消失，拨号盘功能区按钮
Phone,NLC,展示拨号键盘,Fab,Pad竖,NLC收起,C栏,Fab_01,消失，拨号盘功能区按钮
Phone,NLC,展示拨号键盘,Fab,Pad横,NLC,C栏,Fab_01,消失，拨号盘功能区按钮
Phone,NLC,展示拨号键盘,Fab,Pad横,NLC收起,C栏,Fab_01,消失，拨号盘功能区按钮
Phone,NLC,收起拨号键盘 Hide  Number pad,BottomBar,手机竖,,全栏,BottomBar_Showcase_Fab_01,
Phone,NLC,收起拨号键盘 Hide  Number pad,BottomBar,Fold外竖,,全栏,BottomBar_Showcase_Fab_01,
Phone,LC,收起拨号键盘 Hide  Number pad,BottomBar,Fold内竖,LC,L栏,BottomBar_Showcase_02,
Phone,LC,收起拨号键盘 Hide  Number pad,BottomBar,Fold内横,LC,L栏,BottomBar_Showcase_02,
Phone,NLC,收起拨号键盘 Hide  Number pad,Sidebar,Pad竖,NLC,N栏,Sidebar_Component_PAD_NLC_01,
Phone,NLC,收起拨号键盘 Hide  Number pad,Sidebar,Pad竖,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,
Phone,NLC,收起拨号键盘 Hide  Number pad,Sidebar,Pad横,NLC,N栏,Sidebar_Component_PAD_NLC_01,
Phone,NLC,收起拨号键盘 Hide  Number pad,Sidebar,Pad横,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,
Phone,NLC,收起拨号键盘 Hide  Number pad,NavigationBar,手机竖,,全栏,NavigationBar_ComponentSet_01,
Phone,NLC,收起拨号键盘 Hide  Number pad,NavigationBar,Fold外竖,,全栏,NavigationBar_ComponentSet_04,
Phone,LC,收起拨号键盘 Hide  Number pad,NavigationBar,Fold内竖,LC,L栏,NavigationBar_ComponentSet_04,
Phone,LC,收起拨号键盘 Hide  Number pad,NavigationBar,Fold内竖,LC,C栏,1. 未选中L栏list：无标题,
Phone,LC,收起拨号键盘 Hide  Number pad,NavigationBar,Fold内竖,LC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_15,
Phone,LC,收起拨号键盘 Hide  Number pad,NavigationBar,Fold内横,LC,L栏,NavigationBar_ComponentSet_04,
Phone,LC,收起拨号键盘 Hide  Number pad,NavigationBar,Fold内横,LC,C栏,1. 未选中L栏list：无标题,
Phone,LC,收起拨号键盘 Hide  Number pad,NavigationBar,Fold内横,LC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_15,
Phone,NLC,收起拨号键盘 Hide  Number pad,NavigationBar,Pad竖,NLC,N栏,Sidebar_Component_PAD_NLC_01,标题栏
Phone,NLC,收起拨号键盘 Hide  Number pad,NavigationBar,Pad竖,NLC,L栏,NavigationBar_ComponentSet_07,
Phone,NLC,收起拨号键盘 Hide  Number pad,NavigationBar,Pad竖,NLC,C栏,1. 未选中L栏list：无标题,
Phone,NLC,收起拨号键盘 Hide  Number pad,NavigationBar,Pad竖,NLC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,
Phone,NLC,收起拨号键盘 Hide  Number pad,NavigationBar,Pad竖,NLC收起,N栏,Sidebar_Component_PAD_NLC_02,标题栏
Phone,NLC,收起拨号键盘 Hide  Number pad,NavigationBar,Pad竖,NLC收起,L栏,NavigationBar_ComponentSet_07,
Phone,NLC,收起拨号键盘 Hide  Number pad,NavigationBar,Pad竖,NLC收起,C栏,1. 未选中L栏list：无标题,
