app,subScene,scene,state,uiElement,device,screenMode,栏,variantId,notes,framework
Recorder,,NLC,默认,TopBar,手机竖,,全栏,_00,不渲染,
Recorder,,NLC,默认,TopBar,Fold外竖,,全栏,_00,不渲染,
Recorder,,LC,默认,Sidebar,Fold内竖,LC,L栏,Sidebar_Component_Fold_LC_Fab_01,,
Recorder,,LC,默认,Sidebar,Fold内横,LC,L栏,Sidebar_Component_Fold_LC_Fab_01,,
Recorder,,LC,默认,Sidebar,Pad竖,LC,L栏,Sidebar_Component_PAD_LC_Fab_01,,
Recorder,,LC,默认,Sidebar,Pad横,LC,L栏,Sidebar_Component_PAD_LC_Fab_01,,
Recorder,,NLC,默认,NavigationBar,手机竖,,全栏,NavigationBar_ComponentSet_01,,
Recorder,,NLC,默认,NavigationBar,Fold外竖,,全栏,NavigationBar_ComponentSet_04,,
Recorder,,LC,默认,NavigationBar,Fold内竖,LC,L栏,NavigationBar_ComponentSet_04,,
Recorder,,LC,默认,NavigationBar,Fold内竖,LC,C栏,NavigationBar_ComponentSet_04,,
Recorder,,LC,默认,NavigationBar,Fold内横,LC,L栏,NavigationBar_ComponentSet_04,,
Recorder,,LC,默认,NavigationBar,Fold内横,LC,C栏,NavigationBar_ComponentSet_04,,
Recorder,,LC,默认,NavigationBar,Pad竖,LC,L栏,NavigationBar_ComponentSet_01,,
Recorder,,LC,默认,NavigationBar,Pad竖,LC,C栏,NavigationBar_ComponentSet_07,,
Recorder,,LC,默认,NavigationBar,Pad横,LC,L栏,NavigationBar_ComponentSet_01,,
Recorder,,LC,默认,NavigationBar,Pad横,LC,C栏,NavigationBar_ComponentSet_07,,
Recorder,,NLC,默认,SelectableChip,手机竖,,全栏,SelectableChip_ComponentSet_01,,
Recorder,,NLC,默认,SelectableChip,Fold外竖,,全栏,SelectableChip_ComponentSet_01,,
Recorder,,LC,默认,SelectableChip,Fold内竖,LC,全栏,SelectableChip_ComponentSet_01,,
Recorder,,LC,默认,SelectableChip,Fold内横,LC,全栏,SelectableChip_ComponentSet_01,,
Recorder,,LC,默认,SelectableChip,Pad竖,LC,L栏,SelectableChip_ComponentSet_01,,
Recorder,,LC,默认,SelectableChip,Pad横,LC,L栏,SelectableChip_ComponentSet_01,,
Recorder,,NLC,默认,Fab,手机竖,,全栏,Fab_Rec_01,彩色,
Recorder,,NLC,默认,Fab,Fold外竖,,全栏,Fab_Rec_01,彩色,
Recorder,,LC,默认,Fab,Fold内竖,LC,L栏,Fab_Rec_01,彩色,
Recorder,,LC,默认,Fab,Fold内横,LC,L栏,Fab_Rec_01,彩色,
Recorder,,LC,默认,Fab,Pad竖,LC,L栏,Fab_Rec_01,彩色,
Recorder,,LC,默认,Fab,Pad横,LC,L栏,Fab_Rec_01,彩色,
