app,scene,state,uiElement,device,screenMode,栏,variantId,notes
Tasks,NLC,默认,BottomBar,手机竖,,全栏,BottomBar_Showcase_00,
Tasks,NLC,默认,BottomBar,Fold外竖,,全栏,BottomBar_Showcase_00,
Tasks,LC,默认,BottomBar,Fold内竖,LC,L栏,BottomBar_Showcase_00,
Tasks,LC,默认,BottomBar,Fold内横,LC,L栏,BottomBar_Showcase_00,
Tasks,NLC,默认,Sidebar,Pad竖,NLC,N栏,Sidebar_Component_PAD_NLC_01,
Tasks,NLC,默认,Sidebar,Pad竖,NLC收起,N栏,Sidebar_Component_PAD_NLC_00,
Tasks,NLC,默认,Sidebar,Pad横,NLC,N栏,Sidebar_Component_PAD_NLC_01,
Tasks,NLC,默认,Sidebar,Pad横,NLC收起,N栏,Sidebar_Component_PAD_NLC_00,
Tasks,NLC,默认,NavigationBar,手机竖,,全栏,NavigationBar_ComponentSet_02,
Tasks,NLC,默认,NavigationBar,Fold外竖,,全栏,NavigationBar_ComponentSet_05,
Tasks,LC,默认,NavigationBar,Fold内竖,LC,L栏,NavigationBar_ComponentSet_05,
Tasks,LC,默认,NavigationBar,Fold内竖,LC,C栏,NavigationBar_ComponentSet_00,
Tasks,LC,默认,NavigationBar,Fold内横,LC,L栏,NavigationBar_ComponentSet_05,
Tasks,LC,默认,NavigationBar,Fold内横,LC,C栏,NavigationBar_ComponentSet_00,
Tasks,NLC,默认,NavigationBar,Pad竖,NLC,N栏,NavigationBar_ComponentSet_12,
Tasks,NLC,默认,NavigationBar,Pad竖,NLC,L栏,NavigationBar_ComponentSet_07,
Tasks,NLC,默认,NavigationBar,Pad竖,NLC,C栏,NavigationBar_ComponentSet_00,
Tasks,NLC,默认,NavigationBar,Pad竖,NLC收起,N栏,NavigationBar_ComponentSet_00,
Tasks,NLC,默认,NavigationBar,Pad竖,NLC收起,L栏,NavigationBar_ComponentSet_17,
Tasks,NLC,默认,NavigationBar,Pad竖,NLC收起,C栏,NavigationBar_ComponentSet_00,
Tasks,NLC,默认,NavigationBar,Pad横,NLC,N栏,NavigationBar_ComponentSet_12,
Tasks,NLC,默认,NavigationBar,Pad横,NLC,L栏,NavigationBar_ComponentSet_07,
