ComponentFamily,VariantId,VariantName,LibraryName,InternalPadL,InternalPadR,TitleLeftPad,NaturalW,NaturalH,Note
StatusBar,StatusBar_01,状态栏_手机Fold_01,OS4 UI Kit,,,,,,
StatusBar,StatusBar_03,状态栏_Pad,OS4 UI Kit,,,,,,
SwipeIndicator,SwipeIndicator_01,控制杆_手机_竖屏_01,OS4 UI Kit,,,,,,
SwipeIndicator,SwipeIndicator_02,控制杆_手机_横屏_01,OS4 UI Kit,,,,,,
SwipeIndicator,SwipeIndicator_03,控制杆_Fold_外屏_竖屏_01,OS4 UI Kit,,,,,,
SwipeIndicator,SwipeIndicator_04,控制杆_Fold_外屏_横屏_01,OS4 UI Kit,,,,,,
SwipeIndicator,SwipeIndicator_05,控制杆_Fold_内屏_竖屏_01,OS4 UI Kit,,,,,,
SwipeIndicator,SwipeIndicator_06,控制杆_Fold_内屏_横屏_01,OS4 UI Kit,,,,,,
SwipeIndicator,SwipeIndicator_07,控制杆_Pad_竖屏_01,OS4 UI Kit,,,,,,
SwipeIndicator,SwipeIndicator_08,控制杆_Pad_横屏_01,OS4 UI Kit,,,,,,
NavigationBar,NavigationBar_ComponentSet_00,无标题栏,OS4 UI Kit,,,,,,
NavigationBar,NavigationBar_ComponentSet_01,大标题_手机默认,OS4 UI Kit,12,12,28,,,左12，右12 / 标题左侧：28
NavigationBar,NavigationBar_ComponentSet_02,大标题_返回,OS4 UI Kit,12,12,28,,,左12，右12 / 标题左侧：28
NavigationBar,NavigationBar_ComponentSet_03,大标题_编辑,OS4 UI Kit,12,12,28,,,左12，右12 / 标题左侧：28
NavigationBar,NavigationBar_ComponentSet_04,中标题_左对齐,OS4 UI Kit,12,12,28,,,左12，右12 / 标题左侧：28
NavigationBar,NavigationBar_ComponentSet_05,中标题_左对齐_返回,OS4 UI Kit,12,12,28,,,左12，右12 / 标题左侧：28
NavigationBar,NavigationBar_ComponentSet_06,中标题_左对齐_编辑,OS4 UI Kit,12,12,28,,,左12，右12 / 标题左侧：28
NavigationBar,NavigationBar_ComponentSet_15,中标题_左对齐_无标题,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_07,小标题,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_16,小标题_左对齐,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_08,小标题_返回,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_09,小标题_编辑,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_10,小标题_无标题,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_11,小标题_无标题_返回,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_09,小标题_关闭,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_12,小标题_侧边栏_无标题,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_13,小标题_侧边栏_编辑,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_17,小标题_侧边栏_收起_文字,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_18,小标题_侧边栏_编辑_收起,OS4 UI Kit,12,12,,,,左12，右12
NavigationBar,NavigationBar_ComponentSet_14,小标题_侧边栏_收起,OS4 UI Kit,12,12,,,,左12，右12
TopBar,TopBar_00,无顶部导航,OS4 UI Kit,,,,,,
TopBar,TopBar_01,顶部导航组合,OS4 UI Kit,12,12,,,,左12，右12
TopBar,TopBar_02,顶部导航组合_返回,OS4 UI Kit,12,12,,,,左12，右12
SelectableChip,SelectableChip_ComponentSet_00,无标签栏,OS4 UI Kit,,,,,,
SelectableChip,SelectableChip_ComponentSet_01,等宽,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,SearchBar_ComponentSet_00,无搜索栏,OS4 UI Kit,,,,,,
SearchBar,SearchBar_ComponentSet_05,默认-,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,SearchBar_ComponentSet_01,激活,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,SearchBar_ComponentSet_03,sug词直搜,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,SearchBar_ComponentSet_02,平板 / 顶部导航 / 默认,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,SearchBar_ComponentSet_04,平板 / 顶部导航 / 激活,OS4 UI Kit,8,8,,,,左8，右8
SearchBar,TopBar_03,顶部标题栏搜索,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,TopBar_04,顶部导航搜索_返回,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,TopBar_05,顶部导航搜索,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,TopBar_06,顶部标题栏搜索_左对齐,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,TopBar_07,顶部导航搜索_侧边栏收起,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,TopBar_09,顶部导航搜索_侧边栏_编辑,OS4 UI Kit,12,12,,,,左12，右12
SearchBar,TopBar_08,顶部导航搜索_侧边栏收起_编辑,OS4 UI Kit,12,12,,,,左12，右12
SearchReceiving,SearchReceiving_00,无搜索面板,OS4 UI Kit,,,,,,
SearchReceiving,SearchReceiving_01,搜索面板,OS4 UI Kit,16,16,,,,左16，右16
SegmentedControls,SegmentedControls_ComponentSet_00,默认,OS4 UI Kit,,,,,,
SegmentedControls,SegmentedControls_ComponentSet_01,默认,OS4 UI Kit,12,12,,,,左12，右12
SegmentedControls,SegmentedControls_ComponentSet_02,分段按钮_Pad,OS4 UI Kit,16,16,,,,最小 左16，右16
SegmentedControls,SegmentedControls_01,分段按钮_容器,OS4 UI Kit,16,16,,,,左16，右16
NavigationBar,NavigationBar_ComponentSet_13,,OS4 UI Kit,12,12,,,,左12，右12
BottomBar,BottomBar_Showcase_00,无底部导航栏,OS4 UI Kit,,,,,,
BottomBar,BottomBar_Showcase_01,默认,OS4 UI Kit,,,,,,屏幕宽度：大于440的定宽344dp； / 小于440的铺满，左右padding24dp
BottomBar,BottomBar_Showcase_02,无FAB_分开展示,OS4 UI Kit,24,,,,,左24
BottomBar,BottomBar_Showcase_Fab_01,配FAB,OS4 UI Kit,,,,,,屏幕宽度：大于440的定宽344dp； / 小于440的铺满，左右padding24dp / Gab：12
BottomBar,BottomBar_Showcase_Fab_02,配FAB_分开展示,OS4 UI Kit,24,24,,,,左24，右24
Fab,Fab_00,Fab,OS4 UI Kit,,,,,,
Fab,Fab_01,Fab,OS4 UI Kit,,24,,,,右24
Fab,Fab_02,Fab,OS4 UI Kit,,24,,,,右24
Sidebar,Sidebar_Component_PAD_NLC_00,Pad_NLC,OS4 UI Kit,,,,,,
Sidebar,Sidebar_Component_PAD_NLC_01,Pad_NLC,OS4 UI Kit,12,12,,,,侧边栏组件左侧：12 / 侧边栏组件内：左12，右12
Sidebar,Sidebar_Component_PAD_NLC_02,Pad_NLC_收起,OS4 UI Kit,12,12,,,,侧边栏组件左侧：12 / 侧边栏组件内：左12，右12
Sidebar,Sidebar_Component_PAD_NLC_03,Pad_NLC_编辑,OS4 UI Kit,12,12,,,,侧边栏组件左侧：12 / 侧边栏组件内：左12，右12
Sidebar,Sidebar_Component_PAD_LC_01,Pad_LC,OS4 UI Kit,12,12,,,,侧边栏组件左侧：12 / 侧边栏组件内：左12，右12
Sidebar,Sidebar_Component_Fold_LC_01,Fold_LC,OS4 UI Kit,12,12,,,,侧边栏组件左侧：12 / 侧边栏组件内：左12，右12 / Fab：右24
Sidebar,Sidebar_Component_PAD_LC_Fab_01,Pad_LC_配FAB,OS4 UI Kit,12,12,,,,侧边栏组件左侧：12 / 侧边栏组件内：左12，右12
Sidebar,Sidebar_Component_Fold_LC_Fab_01,Fold_LC_配FAB,OS4 UI Kit,12,12,,,,侧边栏组件左侧：12 / 侧边栏组件内：左12，右12
NavigationBar,NavigationBar_ComponentSet_01,Pad_NLC_大标题,OS4 UI Kit,,,,,,
NavigationBar,NavigationBar_ComponentSet_04,Pad_NLC_中标题,OS4 UI Kit,,,,,,
NavigationBar,NavigationBar_ComponentSet_12,Pad_NLC_小标题,OS4 UI Kit,,,,,,
NavigationBar,NavigationBar_ComponentSet_13,Pad_NLC_编辑,OS4 UI Kit,,,,,,
NavigationBar,NavigationBar_ComponentSet_14,Pad_NLC_收起,OS4 UI Kit,,,,,,
Sidebar,Sidebar_BG_01,侧边栏_面板,OS4 UI Kit,,,,,,
Sidebar,Sidebar_Notes_01,业务_笔记,OS4 UI Kit,,,,,,定宽312
